k,target,num_probes,conv_code,rate,decoder_mode,calibration_ber,authorized_uncoded_ber,authorized_postfec_ber,worst_unauthorized_postfec_ber,avg_unauthorized_postfec_ber,median_unauthorized_postfec_ber,leak_positions_le_0p05,leak_positions_le_0p10,evaluated_unauthorized_positions,status
5,"(4, 7, 17, 26, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.164,0.16333333333333333,0.07894736842105263,0.3473684210526316,0.37139588100686494,0.3684210526315789,0,0,23,ok
5,"(1, 10, 12, 17, 22)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.073,0.06666666666666667,0.03684210526315789,0.32105263157894737,0.351258581235698,0.3473684210526316,0,0,23,ok
5,"(1, 14, 21, 24, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.056,0.08166666666666667,0.042105263157894736,0.32105263157894737,0.3391304347826088,0.3368421052631579,0,0,23,ok
5,"(7, 18, 21, 22, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.104,0.1,0.05789473684210526,0.3157894736842105,0.34919908466819216,0.3368421052631579,0,0,23,ok
5,"(13, 17, 18, 23, 25)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.135,0.14833333333333334,0.06842105263157895,0.29999999999999993,0.3318077803203661,0.3315789473684211,0,0,23,ok
5,"(6, 9, 11, 13, 20)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.025,0.028333333333333332,0.0,0.3578947368421052,0.38009153318077793,0.37894736842105264,0,0,23,ok
6,"(4, 7, 16, 18, 21, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.1625,0.175,0.10964912280701754,0.3728070175438596,0.390749601275917,0.381578947368421,0,0,22,ok
6,"(7, 8, 14, 15, 23, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.11,0.10694444444444444,0.07017543859649122,0.3684210526315789,0.3803827751196172,0.37719298245614036,0,0,22,ok
6,"(1, 3, 8, 10, 19, 21)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.11583333333333333,0.13472222222222222,0.13157894736842105,0.35964912280701755,0.37559808612440193,0.37719298245614036,0,0,22,ok
6,"(1, 2, 6, 14, 21, 23)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.12583333333333332,0.12083333333333333,0.13596491228070176,0.3508771929824561,0.35925039872408293,0.3508771929824561,0,0,22,ok
6,"(2, 4, 13, 20, 22, 23)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.08583333333333333,0.10416666666666667,0.0,0.3114035087719298,0.34808612440191383,0.34210526315789475,0,0,22,ok
6,"(3, 11, 12, 13, 17, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.15833333333333333,0.14305555555555555,0.15350877192982457,0.34210526315789475,0.36682615629984044,0.35964912280701755,0,0,22,ok
6,"(2, 13, 19, 20, 21, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.09166666666666666,0.08194444444444444,0.039473684210526314,0.3421052631578947,0.3644338118022328,0.3464912280701754,0,0,22,ok
6,"(1, 6, 9, 12, 14, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.07333333333333333,0.07916666666666666,0.043859649122807015,0.3508771929824561,0.3704146730462521,0.3771929824561404,0,0,22,ok
6,"(1, 7, 11, 20, 21, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.050833333333333335,0.06111111111111111,0.039473684210526314,0.3596491228070175,0.37719298245614036,0.37719298245614036,0,0,22,ok
6,"(2, 5, 6, 13, 18, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0775,0.09583333333333334,0.039473684210526314,0.3552631578947369,0.37719298245614036,0.37280701754385964,0,0,22,ok
6,"(1, 3, 6, 15, 19, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0375,0.04027777777777778,0.008771929824561403,0.3552631578947369,0.36802232854864436,0.3640350877192982,0,0,22,ok
6,"(3, 5, 14, 24, 25, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.08083333333333333,0.08055555555555556,0.06578947368421052,0.34649122807017546,0.36283891547049446,0.34649122807017546,0,0,22,ok
6,"(2, 3, 4, 9, 11, 22)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.11916666666666667,0.12222222222222222,0.039473684210526314,0.3333333333333333,0.3720095693779904,0.3596491228070175,0,0,22,ok
6,"(4, 8, 9, 14, 21, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.07166666666666667,0.09166666666666666,0.02631578947368421,0.35964912280701755,0.37320574162679426,0.37719298245614036,0,0,22,ok
6,"(4, 8, 11, 16, 23, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.1925,0.2111111111111111,0.09210526315789473,0.3684210526315789,0.3855661881977671,0.37719298245614036,0,0,22,ok
